,Unnamed: 0,Player,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
14,14,model-owner,15000,0.0001,0.1,0.3782651424407959,8250000485.902598,576.4984157085419,0.5938289761543274,0.00018866625032387677,9.076713354261299e-07,0.002358256373554468,-0.5914698243141174,12.499619483947756,51.0
15,15,model-owner,16000,0.0001,0.1,0.4008774757385254,8800000513.690933,616.9564466476439,0.5651652216911316,4.339977749623358e-05,4.8030287302935903e-08,0.0005725053488276899,-0.5645926594734192,13.191434860229492,51.0
16,16,model-owner,17000,0.0001,0.1,0.42072463035583496,9350000541.479269,657.355096578598,0.5250224471092224,2.5646821086411364e-05,1.6772865762959555e-08,0.00035446640686132014,-0.5246679782867432,13.821065902709961,51.0
17,17,model-owner,18000,0.0001,0.1,0.44326186180114746,9900000569.2676,696.5734095573425,0.6029882431030273,0.00025569400168024004,1.6671752973707044e-06,0.003714832244440913,-0.5992717146873474,14.52842903137207,51.0
18,18,model-owner,19000,0.0001,0.1,0.4372954368591309,10450000597.055937,735.0397109985353,0.5700229406356812,6.85999621055089e-05,1.2000184312910278e-07,0.0010430417023599148,-0.568979799747467,15.20469856262207,51.0
19,19,model-owner,20000,0.0001,0.1,0.538846492767334,11000000624.844269,775.8912372589111,0.5711661577224731,2.1497233319678344e-05,2.3337616283924945e-08,0.00034003055770881474,-0.5708261132240295,15.817410469055176,101.0
20,20,model-owner,21000,0.0001,0.1,0.5009820461273193,11550000652.632605,816.4995138645172,0.5982503890991211,3.265436680521816e-05,5.384853807299805e-08,0.0005506897578015924,-0.5976996421813965,16.864198684692386,101.0
21,21,model-owner,22000,0.0001,0.1,0.5697386264801025,12100000680.420937,857.6585850715637,0.5841183662414551,1.7081631085602567e-05,1.4734997222376478e-08,0.00030489708296954626,-0.583813488483429,17.84941291809082,101.0
22,22,model-owner,23000,0.0001,0.1,0.6678810119628906,12650000708.20927,898.7173230648041,0.5750410556793213,4.663643721869448e-06,1.098353408224284e-09,8.740722114453092e-05,-0.5749536752700806,18.742259979248047,101.0
23,23,model-owner,24000,0.0001,0.1,0.5981576442718506,13200000735.997604,938.7736229896544,0.6085789203643799,3.252986061852425e-06,5.34386868089598e-10,6.377258978318423e-05,-0.6085151433944702,19.60432243347168,101.0
24,24,model-owner,25000,0.0001,0.1,0.578749418258667,13750000763.785938,980.9872682094574,0.5527401566505432,8.429438457824291e-05,3.5882993643099326e-07,0.001703142304904759,-0.5510366559028625,20.204694747924805,101.0
25,25,model-owner,26000,0.0001,0.1,0.7446014881134033,14300000791.574272,1024.5047364234924,0.5597630739212036,6.098380254115909e-05,1.8781072697038328e-07,0.0012725269189104438,-0.5584903955459595,20.86663818359375,101.0
26,26,model-owner,27000,0.0001,0.1,0.6887855529785156,14850000819.362606,1065.1750631332395,0.5346643924713135,1.351181163045112e-05,9.21973697387557e-09,0.0002900581748690456,-0.5343743562698364,21.46700859069824,101.0
27,27,model-owner,28000,0.0001,0.1,0.6308054924011229,15400000847.15094,1106.3698694705963,0.580047607421875,1.501007045590086e-05,1.1377761843789358e-08,0.00033331240410916507,-0.579714298248291,22.20591926574707,101.0
